Page,Price,Type,Beds,Baths,Area,Location
2,"680,000",Apartment,6,4,230 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
2,"450,000",Apartment,4,4,900 Sq. M.,"Al Safa, North Jeddah, Jeddah"
2,"450,000",Apartment,4,3,136 Sq. M.,"Bryman, North Jeddah, Jeddah"
2,"580,000",Apartment,4,3,134 Sq. M.,"Al Manar, North Jeddah, Jeddah"
2,"670,000",Apartment,5,3,162 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
2,"590,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"680,000",Apartment,4,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"950,000",Apartment,4,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"935,000",Apartment,4,4,160 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"575,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
2,"580,000",Apartment,3,3,100 Sq. M.,"Al Naim, North Jeddah, Jeddah"
2,"560,000",Apartment,2,2,58 Sq. M.,"Wadi Jalil, Makkah"
2,"1,000,000",Apartment,3,3,141 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
2,"3,500,000",Villa,8,8,400 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
2,"560,000",Apartment,7,4,146 Sq. M.,"Al Zuhur, Dammam"
2,"430,000",Apartment,4,3,119 Sq. M.,"Prince Abdulmajeed, South Jeddah, Jeddah"
2,"690,000",Apartment,4,5,159 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
2,"420,875",Residential Land,N/A,N/A,925 Sq. M.,"Ar Rimal, Unayzah"
2,"644,600",Land,N/A,N/A,586 Sq. M.,"Al Wurud, Taif"
2,"3,150,000",Villa,5,7,451 Sq. M.,Dhahran
2,"1,354,445",Residential Land,N/A,N/A,934 Sq. M.,"As Salamah, Makkah"
2,"937,500",Residential Land,N/A,N/A,312 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
2,"847,000",Residential Land,N/A,N/A,770 Sq. M.,"Al Kawthar, Al Khobar"
2,"2,928,975",Residential Land,N/A,N/A,"1,195 Sq. M.","Al Sawari, North Jeddah, Jeddah"
2,"353,016",Residential Land,N/A,N/A,588 Sq. M.,"Al Mulayda, Buraydah Al Qassim Region"
3,"655,000",Apartment,4,3,160 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
3,"475,000",Apartment,3,3,124 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
3,"880,000",Apartment,6,5,215 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
3,"660,000",Apartment,5,5,165 Sq. M.,"Al Safa, North Jeddah, Jeddah"
3,"610,000",Apartment,6,4,178 Sq. M.,"Al Jamiyin, Dammam"
3,"650,000",Apartment,5,3,157 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
3,"730,000",Apartment,6,4,195 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
3,"549,000",Apartment,3,2,524 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
3,"830,000",Apartment,5,4,177 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
3,"620,000",Apartment,4,5,141 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
3,"10,500,000",Residential Land,N/A,N/A,"3,000 Sq. M.","Al Aziziyah, South Riyadh, Riyadh"
3,"9,000,000",Building,N/A,N/A,600 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
3,"795,000",Apartment,4,3,158 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
3,"2,100,000",Villa,5,5,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
3,"3,200,000",Villa,6,6,383 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
3,"1,400,000",Villa,6,8,373 Sq. M.,"Al Amwaj, Al Khobar"
3,"2,200,000",Villa,10,5,450 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
3,"2,500,000",Villa,4,5,643 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
3,"650,000",Apartment,5,4,202 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
3,"530,000",Apartment,6,4,239 Sq. M.,"Ar Rawdah, Abha"
3,"2,670,000",Residential Land,N/A,N/A,334 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
3,"1,377,000",Residential Land,N/A,N/A,255 Sq. M.,"Al Arid, North Riyadh, Riyadh"
3,"7,500,805",Land,N/A,N/A,902 Sq. M.,"Al Rabwah, Central Riyadh, Riyadh"
3,"2,800,000",Villa,6,8,440 Sq. M.,"Al Buhairah, Al Khobar"
3,"2,500,750",Residential Land,N/A,N/A,875 Sq. M.,"Dahiat Namar, West Riyadh, Riyadh"
4,"680,000",Apartment,5,5,175 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"640,000",Apartment,5,4,157 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"600,000",Apartment,4,4,140 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"860,000",Apartment,6,5,213 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
4,"660,000",Apartment,5,5,167 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
4,"660,000",Apartment,5,5,167 Sq. M.,"Al Sulaymaniyah, North Jeddah, Jeddah"
4,"1,350,000",Apartment,6,5,242 Sq. M.,"Al Safa, North Jeddah, Jeddah"
4,"850,000",Apartment,4,4,158 Sq. M.,"Al Safa, North Jeddah, Jeddah"
4,"520,000",Apartment,4,3,127 Sq. M.,"Batha Quraysh, Makkah"
4,"650,000",Apartment,4,3,184 Sq. M.,"Al Mohamdya, Makkah"
4,"2,200,000",Villa,5,6,455 Sq. M.,"Al Khaleej, East Riyadh, Riyadh"
4,"870,000",Apartment,5,3,170 Sq. M.,"Al Naim, North Jeddah, Jeddah"
4,"698,077",Residential Land,N/A,N/A,395 Sq. M.,"Al Umrah, Makkah"
4,"720,000",Apartment,4,3,127 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"560,000",Apartment,6,4,179 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
4,"770,000",Apartment,5,4,178 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
4,"590,000",Apartment,3,3,106 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"380,000",Residential Land,N/A,N/A,250 Sq. M.,"Al Sheraa, Al Khobar"
4,"1,200,000",Apartment,5,4,177 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
4,"5,000,000",Villa,7,4,315 Sq. M.,"Al Shati, North Jeddah, Jeddah"
4,"450,000",Apartment,2,2,102 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
4,"1,620,000",Residential Land,N/A,N/A,600 Sq. M.,"Al Ajwad, North Jeddah, Jeddah"
4,"480,000",Apartment,4,3,123 Sq. M.,"Abruq Al Rughamah, North Jeddah, Jeddah"
4,"1,052,421",Residential Land,N/A,N/A,487 Sq. M.,Riyadh
4,"1,850,000",Villa,6,7,300 Sq. M.,"Al Arid, North Riyadh, Riyadh"
5,"600,000",Land,N/A,N/A,600 Sq. M.,"Shaeb Amir Al Jadid, Makkah"
5,"3,800,000",Villa,5,4,400 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
5,"980,000",Apartment,4,3,251 Sq. M.,"Al Janadriyah, East Riyadh, Riyadh"
5,"605,000",Apartment,3,3,167 Sq. M.,"Okaz, South Riyadh, Riyadh"
5,"545,000",Apartment,3,3,119 Sq. M.,"Okaz, South Riyadh, Riyadh"
5,"1,200,000",Villa,10,5,401 Sq. M.,"Ash Shamiya Al Jadid, Makkah"
5,"740,000",Apartment,5,4,156 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
5,"3,900,000",Villa,6,5,312 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
5,"499,000",Apartment,4,4,154 Sq. M.,"Al Sakb, Madina"
5,"2,125,554",Apartment,3,4,246 Sq. M.,"Al Nasim, Makkah"
5,"6,500,000",Villa,7,8,375 Sq. M.,"Al Basateen, North Jeddah, Jeddah"
5,"660,000",Apartment,5,4,192 Sq. M.,"Al Waha, North Jeddah, Jeddah"
5,"1,025,000",Apartment,3,3,123 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
5,"720,000",Apartment,5,3,165 Sq. M.,"Al Faisaliyah, Central Jeddah, Jeddah"
5,"3,900,600",Residential Land,N/A,N/A,900 Sq. M.,"Al Manar, North Jeddah, Jeddah"
5,"1,860,102",Land,N/A,N/A,722 Sq. M.,"Al Thaghr, South Jeddah, Jeddah"
5,"2,600,000",Villa,4,3,300 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
5,"3,000,000",Villa,7,4,300 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
5,"1,550,000",Apartment,6,5,235 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
5,"520,000",Apartment,4,3,"2,300 Sq. M.","Al Rehab, North Jeddah, Jeddah"
5,"770,000",Apartment,4,4,630 Sq. M.,"Badr, South Riyadh, Riyadh"
5,"550,000",Apartment,2,3,128 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
5,"520,000",Residential Building,3,3,,"Badr, South Riyadh, Riyadh"
5,"1,250,000",Floor,3,3,550 Sq. M.,"Al Arid, North Riyadh, Riyadh"
5,"1,450,000",Floor,3,3,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"1,266,370",Apartment,3,4,191 Sq. M.,"Al Nasim, Makkah"
6,"1,354,460",Apartment,3,4,188 Sq. M.,"Al Nasim, Makkah"
6,"1,381,506",Apartment,3,4,205 Sq. M.,"Al Nasim, Makkah"
6,"1,375,952",Apartment,3,4,200 Sq. M.,"Al Nasim, Makkah"
6,"1,345,910",Apartment,3,4,198 Sq. M.,"Al Nasim, Makkah"
6,"1,199,224",Apartment,3,4,170 Sq. M.,"Al Nasim, Makkah"
6,"2,422,755",Apartment,3,4,245 Sq. M.,"Al Nasim, Makkah"
6,"1,250,000",Apartment,3,4,175 Sq. M.,"Al Nasim, Makkah"
6,"760,000",Apartment,5,4,170 Sq. M.,Dhahran
6,"770,000",Apartment,5,4,211 Sq. M.,"Al Wahah, Dammam"
6,"1,500,000",Floor,3,3,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
6,"850,000",Apartment,4,3,150 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
6,"660,000",Apartment,5,4,172 Sq. M.,"Al Woroud, North Jeddah, Jeddah"
6,"850,000",Villa,5,7,299 Sq. M.,"King Fahd District, Unayzah"
6,"740,000",Apartment,5,3,166 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
6,"1,300,000",Villa,5,8,318 Sq. M.,"Al Sawari, Al Khobar"
6,"580,000",Apartment,6,4,225 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
6,"1,450,000",Floor,6,4,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"4,400,000",Villa,6,4,900 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
6,"1,450,000",Floor,6,6,260 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"1,600,000",Apartment,3,3,900 Sq. M.,"Al Malqa, North Riyadh, Riyadh"
6,"535,000",Apartment,4,3,92 Sq. M.,"Okaz, South Riyadh, Riyadh"
6,"825,000",Apartment,4,4,165 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"770,000",Apartment,4,4,158 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
6,"400,000",Land,N/A,N/A,400 Sq. M.,"Uraidh, South Riyadh, Riyadh"
7,"1,300,000",Apartment,5,3,181 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
7,"1,150,000",Apartment,3,4,182 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
7,"1,100,000",Floor,4,4,170 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
7,"820,000",Apartment,6,5,193 Sq. M.,"Al Safa, North Jeddah, Jeddah"
7,"800,000",Villa,3,2,101 Sq. M.,"Al Khalidiyah, Central Riyadh, Riyadh"
7,"950,000",Apartment,6,4,197 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
7,"600,000",Apartment,5,3,"1,800 Sq. M.","Alawali, West Riyadh, Riyadh"
7,"435,000",Apartment,3,3,108 Sq. M.,"Dirab, West Riyadh, Riyadh"
7,"1,030,000",Floor,4,3,789 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
7,"599,000",Apartment,5,3,184 Sq. M.,"Al Nuzhah, North Jeddah, Jeddah"
7,"1,200,000",Villa,5,5,215 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
7,"455,000",Apartment,4,3,170 Sq. M.,"Hajr, Dammam"
7,"7,600,000",Villa,9,7,"1,000 Sq. M.","Al Hamra, East Riyadh, Riyadh"
7,"830,000",Apartment,5,5,170 Sq. M.,Dhahran
7,"650,000",Apartment,4,4,544 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
7,"820,000",Apartment,5,3,200 Sq. M.,"Al Wahah, Dammam"
7,"770,000",Apartment,5,5,170 Sq. M.,Dhahran
7,"600,000",Floor,4,4,203 Sq. M.,"Badr, South Riyadh, Riyadh"
7,"850,000",Apartment,5,4,128 Sq. M.,"Al Arid, North Riyadh, Riyadh"
7,"900,000",Villa,8,7,225 Sq. M.,"Dirab, West Riyadh, Riyadh"
7,"790,000",Apartment,3,2,85 Sq. M.,"Al Arid, North Riyadh, Riyadh"
7,"6,000,000",Residential Land,N/A,N/A,"10,000 Sq. M.",Al Ammariyah Riyadh Region
7,"1,350,000",Residential Land,N/A,N/A,900 Sq. M.,Malham
7,"860,000",Floor,3,4,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
7,"860,000",Floor,3,3,500 Sq. M.,"Shubra, West Riyadh, Riyadh"
8,"500,000",Apartment,3,3,199 Sq. M.,"Badr, South Riyadh, Riyadh"
8,"6,500,000",Villa,7,7,909 Sq. M.,"Al Olaya, North Riyadh, Riyadh"
8,"1,460,000",Building,N/A,N/A,199 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
8,"16,000,000",Villa,11,11,"1,200 Sq. M.","Al Narjis, North Riyadh, Riyadh"
8,"1,450,000",Villa,7,5,420 Sq. M.,"Al Sakb, Madina"
8,"1,050,000",Villa,7,5,360 Sq. M.,"Al Sakb, Madina"
8,"3,795,000",Residential Land,N/A,N/A,506 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
8,"3,750,000",Villa,4,4,238 Sq. M.,"Al Rayyan, East Riyadh, Riyadh"
8,"1,650,000",Floor,2,2,82 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
8,"1,950,000",Floor,3,3,186 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
8,"760,000",Apartment,5,4,170 Sq. M.,Dhahran
8,"820,000",Apartment,5,3,200 Sq. M.,"Al Wahah, Dammam"
8,"760,000",Apartment,5,4,170 Sq. M.,Dhahran
8,"770,000",Apartment,5,5,170 Sq. M.,Dhahran
8,"780,000",Apartment,5,5,170 Sq. M.,Dhahran
8,"770,000",Apartment,5,4,211 Sq. M.,"Al Wahah, Dammam"
8,"770,000",Apartment,5,4,211 Sq. M.,"Al Wahah, Dammam"
8,"580,000",Apartment,3,4,124 Sq. M.,"Al Suwaidi, West Riyadh, Riyadh"
8,"1,700,000",Floor,4,5,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
8,"1,500,000",Floor,4,4,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
8,"1,700,000",Floor,4,4,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
8,"550,000",Apartment,3,3,128 Sq. M.,"Al Zahrah, West Riyadh, Riyadh"
8,"750,000",Apartment,3,3,128 Sq. M.,"Ishbiliyah, East Riyadh, Riyadh"
8,"9,000,000",Villa,5,5,902 Sq. M.,"King Abduallah, North Riyadh, Riyadh"
8,"160,351",Residential Land,N/A,N/A,"10,021 Sq. M.","Subdivision No 0832, Jilah 2"
9,"2,400,000",Floor,3,3,173 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
9,"920,000",Apartment,3,4,143 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
9,"750,000",Apartment,3,3,113 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
9,"1,150,000",Apartment,5,4,182 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
9,"550,000",Apartment,5,3,157 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
9,"510,000",Apartment,4,3,130 Sq. M.,"Al Waha, North Jeddah, Jeddah"
9,"430,000",Apartment,4,3,122 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
9,"4,500,000",Villa,8,7,850 Sq. M.,"Al Khalidiyah, North Jeddah, Jeddah"
9,"1,450,000",Villa,11,7,300 Sq. M.,"Al Rahmanyah, North Jeddah, Jeddah"
9,"1,900,000",Villa,8,7,300 Sq. M.,"Al Yaqout, North Jeddah, Jeddah"
9,"900,000",Apartment,4,3,158 Sq. M.,"Al Naim, North Jeddah, Jeddah"
9,"770,000",Apartment,5,4,211 Sq. M.,"Al Wahah, Dammam"
9,"770,000",Apartment,5,4,211 Sq. M.,"Al Wahah, Dammam"
9,"1,350,000",Floor,3,4,196 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
9,"820,000",Apartment,5,4,200 Sq. M.,"Al Wahah, Dammam"
9,"1,050,000",Apartment,2,3,93 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
9,"1,200,000",Floor,4,4,196 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
9,"1,040,000",Residential Land,N/A,N/A,520 Sq. M.,"Al Yaqout, North Jeddah, Jeddah"
9,"937,500",Residential Land,N/A,N/A,312 Sq. M.,"Shadhah, Madina"
9,"750,000",Apartment,4,3,114 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
9,"900,000",Floor,4,3,750 Sq. M.,"Dhahrat Al Badiah, West Riyadh, Riyadh"
9,"7,000,000",Villa,6,7,600 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
9,"675,000",Residential Land,N/A,N/A,540 Sq. M.,"Al Aqiq, Al Khobar"
9,"1,000,000",Villa,9,5,250 Sq. M.,"Taybay, Dammam"
9,"3,233,750",Land,N/A,N/A,"2,487 Sq. M.","King Fahd Suburb, Dammam"
10,"660,000",Apartment,5,4,192 Sq. M.,"Al Waha, North Jeddah, Jeddah"
10,"740,000",Apartment,3,3,128 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
10,"750,000",Apartment,6,3,204 Sq. M.,"Al Safa, North Jeddah, Jeddah"
10,"1,070,000",Villa,8,6,200 Sq. M.,"Al Salehiyah, North Jeddah, Jeddah"
10,"1,650,000",Villa,11,7,275 Sq. M.,"Al Sawari, North Jeddah, Jeddah"
10,"1,300,000",Apartment,4,5,200 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
10,"950,000",Apartment,6,4,243 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
10,"580,000",Apartment,3,2,115 Sq. M.,"Al Waha, North Jeddah, Jeddah"
10,"880,000",Apartment,6,4,215 Sq. M.,"Al Waha, North Jeddah, Jeddah"
10,"499,000",Apartment,4,3,126 Sq. M.,"Al Waha, North Jeddah, Jeddah"
10,"1,200,000",Apartment,5,4,185 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
10,"1,150,000",Apartment,5,4,204 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
10,"1,600,000",Apartment,5,4,230 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
10,"7,500,000",Villa,7,10,750 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
10,"680,000",Apartment,4,3,136 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
10,"4,200,000",Villa,5,5,500 Sq. M.,"Agruba, Al Jubaylah"
10,"730,000",Apartment,4,3,112 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
10,"1,700,000",Villa,4,5,360 Sq. M.,"Al Faisaliyah, Dammam"
10,"1,450,000",Apartment,3,3,124 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
10,"670,000",Apartment,5,4,158 Sq. M.,"Al Safa, North Jeddah, Jeddah"
10,"5,600,000",Villa,11,8,675 Sq. M.,"Al Shati, North Jeddah, Jeddah"
10,"1,791,000",Residential Land,N/A,N/A,398 Sq. M.,"Al Qiblatayn, Madina"
10,"1,350,000",Building,N/A,N/A,775 Sq. M.,"Al Aziziyah, Madina"
10,"900,000",Apartment,4,3,158 Sq. M.,"Al Naim, North Jeddah, Jeddah"
10,"5,722",Land,N/A,N/A,"2,796 Sq. M.","Al Rimal, East Riyadh, Riyadh"
11,"550,000",Apartment,4,3,124 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
11,"470,000",Apartment,4,3,145 Sq. M.,"Al Rayaan, North Jeddah, Jeddah"
11,"590,000",Apartment,4,3,131 Sq. M.,"Al Safa, North Jeddah, Jeddah"
11,"750,000",Apartment,5,4,164 Sq. M.,"Al Safa, North Jeddah, Jeddah"
11,"750,000",Apartment,3,3,113 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
11,"560,000",Apartment,4,4,176 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
11,"490,000",Apartment,4,3,133 Sq. M.,"Umm Hablain Al Gharbia, Jeddah"
11,"480,000",Apartment,5,3,152 Sq. M.,"Al Mraikh, North Jeddah, Jeddah"
11,"1,150,000",Apartment,4,4,182 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
11,"4,000,000",Villa,7,7,345 Sq. M.,"Al Basateen, North Jeddah, Jeddah"
11,"3,200,000",Building,N/A,N/A,520 Sq. M.,"Al Murjan, North Jeddah, Jeddah"
11,"1,300,000",Apartment,3,3,108 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
11,"760,000",Apartment,5,4,170 Sq. M.,"Al Qusor, Dammam"
11,"3,500,000",Villa,7,6,750 Sq. M.,"Al Falah, North Jeddah, Jeddah"
11,"4,043,974",Residential Land,N/A,N/A,839 Sq. M.,"Al Aziziyah, Makkah"
11,"5,449,600",Residential Land,N/A,N/A,800 Sq. M.,"Al Maqam, Makkah"
11,"955,000",Apartment,3,5,899 Sq. M.,"Obhur Al Janoubiyah, North Jeddah, Jeddah"
11,"1,450,000",Villa,4,6,312 Sq. M.,"Al Falah, North Jeddah, Jeddah"
11,"1,800,000",Building,N/A,N/A,500 Sq. M.,"Al Nwwariyah, Makkah"
11,"850,000",Floor,5,5,500 Sq. M.,"Wadi Al Battan, Madina"
11,"1,880,334",Residential Land,N/A,N/A,709 Sq. M.,"Al Faisaliyah, Dammam"
11,"290,000",Apartment,4,4,"1,625 Sq. M.","Al Safa, North Jeddah, Jeddah"
11,"3,400,000",Villa,3,5,250 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
11,"4,100,000",Villa,5,5,360 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
11,"4,400,000",Villa,5,5,364 Sq. M.,"Al Yasmin, North Riyadh, Riyadh"
12,"790,000",Apartment,5,5,179 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
12,"660,000",Apartment,5,4,192 Sq. M.,"Al Waha, North Jeddah, Jeddah"
12,"750,000",Apartment,3,3,113 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
12,"1,460,000",Apartment,6,5,199 Sq. M.,"Al Nahdah, North Jeddah, Jeddah"
12,"650,000",Apartment,4,3,135 Sq. M.,"Al Salamah, North Jeddah, Jeddah"
12,"590,000",Apartment,3,3,106 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
12,"790,000",Apartment,5,4,179 Sq. M.,"Al Fayhaa, North Jeddah, Jeddah"
12,"730,000",Apartment,5,4,185 Sq. M.,"Al Safa, North Jeddah, Jeddah"
12,"560,000",Apartment,5,4,226 Sq. M.,"Al Dhurfah, Khamis Mushait"
12,"10,000,000",Building,N/A,N/A,754 Sq. M.,"Al Marwah, North Jeddah, Jeddah"
12,"4,200,000",Villa,4,3,300 Sq. M.,"Al Arid, North Riyadh, Riyadh"
12,"330,000",Apartment,3,2,105 Sq. M.,"Umm Hablain Al Gharbia, Jeddah"
12,"1,700,000",Floor,4,4,195 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
12,"700,000",Apartment,2,3,128 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
12,"650,000",Apartment,3,3,544 Sq. M.,"Al Murjan, East Riyadh, Riyadh"
12,"900,000",Apartment,3,3,120 Sq. M.,"Al Nahdah, East Riyadh, Riyadh"
12,"1,750,000",Villa,5,5,405 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
12,"1,800,000",Floor,3,5,211 Sq. M.,"Al Rayyan, East Riyadh, Riyadh"
12,"3,400,000",Villa,3,5,200 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
12,"4,400,000",Villa,6,5,285 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
12,"530,000",Apartment,3,3,135 Sq. M.,"Al Hazm, West Riyadh, Riyadh"
12,"550,000",Floor,7,6,450 Sq. M.,"Badr, South Riyadh, Riyadh"
12,"470,000",Apartment,3,2,114 Sq. M.,"Tuwaiq, West Riyadh, Riyadh"
12,"780,000",Floor,7,3,227 Sq. M.,"Al Aziziyah, South Riyadh, Riyadh"
12,"7,500,000",Residential Land,N/A,N/A,750 Sq. M.,"Dhahrat Laban, West Riyadh, Riyadh"
13,"2,900,000",Building,N/A,N/A,648 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
13,"6,300,000",Building,N/A,N/A,500 Sq. M.,"Al Naim, North Jeddah, Jeddah"
13,"10,500,000",Residential Building,11,11,,"Al Naim, North Jeddah, Jeddah"
13,"750,000",Apartment,5,4,199 Sq. M.,"King Fahd, Makkah"
13,"1,750,000",Apartment,3,3,130 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
13,"530,000",Apartment,4,3,131 Sq. M.,"Al Manar, North Jeddah, Jeddah"
13,"3,400,000",Villa,4,6,250 Sq. M.,"Al Narjis, North Riyadh, Riyadh"
13,"950,000",Apartment,3,4,150 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
13,"499,000",Apartment,4,4,154 Sq. M.,"Al Sakb, Madina"
13,"1,800,000",Apartment,2,3,114 Sq. M.,"Al Aqiq, North Riyadh, Riyadh"
13,"130,000,000",Building,N/A,N/A,"6,499 Sq. M.","Al Aziziyah, Makkah"
13,"1,250,000",Apartment,5,4,185 Sq. M.,"Al Zahraa, North Jeddah, Jeddah"
13,"750,000",Apartment,5,4,166 Sq. M.,"Mishrifah, North Jeddah, Jeddah"
13,"650,000",Villa,3,3,240 Sq. M.,"Al Muruj, Unayzah"
13,"1,750,000",Floor,4,5,621 Sq. M.,"Al Munsiyah, East Riyadh, Riyadh"
13,"3,700,000",Villa,6,6,343 Sq. M.,"Qurtubah, East Riyadh, Riyadh"
13,"2,100,000",Villa,5,5,328 Sq. M.,"Al Rimal, East Riyadh, Riyadh"
13,"3,000,000",Building,N/A,N/A,625 Sq. M.,"Al Rabwa, North Jeddah, Jeddah"
13,"2,100,000",Villa,5,5,330 Sq. M.,"Al Mahdiyah, West Riyadh, Riyadh"
13,"750,000",Apartment,4,3,120 Sq. M.,"Al Rawdah, North Jeddah, Jeddah"
13,"650,000",Apartment,5,3,203 Sq. M.,"Al Firdaws, Dammam"
13,"1,500,000",Villa,6,5,319 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
13,"2,250,000",Villa,8,7,319 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
13,"1,500,000",Apartment,5,5,219 Sq. M.,"Al Yarmuk, East Riyadh, Riyadh"
